,word data,ocr data,conf,check,ocr time,
878,f,f,93,0,,
879,i,i,93,0,,
880,c,c,93,0,,
881,i,i,93,0,,
882,e,e,93,0,,
883,n,n,93,0,,
884,t,t,93,0,,
885,d,d,92,0,,
886,e,e,92,0,,
887,t,t,92,0,,
888,a,a,92,0,,
889,i,i,92,0,,
890,l,l,92,0,,
891,s,s,92,0,,
892,f,f,92,0,,
893,o,o,92,0,,
894,r,r,92,0,,
895,f,f,96,0,,
896,o,o,96,0,,
897,l,l,96,0,,
898,l,l,96,0,,
899,o,o,96,0,,
900,w,w,96,0,,
901,u,u,96,0,,
902,p,p,96,0,,
903,a,a,96,0,,
904,c,c,96,0,,
905,t,t,96,0,,
906,i,i,96,0,,
907,o,o,96,0,,
908,n,n,96,0,,
909,w,w,96,0,,
910,i,i,96,0,,
911,l,l,96,0,,
912,l,l,96,0,,
913,n,n,96,0,,
914,o,o,96,0,,
915,t,t,96,0,,
916,b,b,97,0,,
917,e,e,97,0,,
918,p,p,96,0,,
919,r,r,96,0,,
920,o,o,96,0,,
921,c,c,96,0,,
922,e,e,96,0,,
923,s,s,96,0,,
924,s,s,96,0,,
925,e,e,96,0,,
926,d,d,96,0,,
927,4,4,94,0,,
928,C,C,96,0,,
929,o,o,96,0,,
930,m,m,96,0,,
931,p,p,96,0,,
932,l,l,96,0,,
933,a,a,96,0,,
934,i,i,96,0,,
935,n,n,96,0,,
936,a,a,96,0,,
937,n,n,96,0,,
938,t,t,96,0,,
939,s,s,96,0,,
940,h,h,96,0,,
941,a,a,96,0,,
942,v,v,96,0,,
943,e,e,96,0,,
944,t,t,97,0,,
945,h,h,97,0,,
946,e,e,97,0,,
947,r,r,97,0,,
948,i,i,97,0,,
949,g,g,97,0,,
950,h,h,97,0,,
951,t,t,97,0,,
952,t,t,96,0,,
953,o,o,96,0,,
954,r,r,96,0,,
955,e,e,96,0,,
956,q,q,96,0,,
957,u,u,96,0,,
958,e,e,96,0,,
959,s,s,96,0,,
960,t,t,96,0,,
961,a,a,96,0,,
962,c,c,96,0,,
963,c,c,96,0,,
964,e,e,96,0,,
965,s,s,96,0,,
966,s,s,96,0,,
967,t,t,96,0,,
968,o,o,96,0,,
969,a,a,96,0,,
970,n,n,96,0,,
971,d,d,96,0,,
972,c,c,96,0,,
973,o,o,96,0,,
974,r,r,96,0,,
975,r,r,96,0,,
976,e,e,96,0,,
977,c,c,96,0,,
978,t,t,96,0,,
979,i,i,96,0,,
980,o,o,96,0,,
981,n,n,96,0,,
982,o,o,96,0,,
983,f,f,96,0,,
984,t,t,96,0,,
985,h,h,96,0,,
986,e,e,96,0,,
987,i,i,96,0,,
988,r,r,96,0,,
989,p,p,96,0,,
990,e,e,96,0,,
991,r,r,96,0,,
992,s,s,96,0,,
993,o,o,96,0,,
994,n,n,96,0,,
995,a,a,96,0,,
996,l,l,96,0,,
997,d,d,96,0,,
998,a,a,96,0,,
999,t,t,96,0,,
1000,a,a,96,0,,
1001,s,s,96,0,,
1002,u,u,96,0,,
1003,b,b,96,0,,
1004,m,m,96,0,,
1005,i,i,96,0,,
1006,t,t,96,0,,
1007,t,t,96,0,,
1008,e,e,96,0,,
1009,d,d,96,0,,
1010,f,f,96,0,,
1011,o,o,96,0,,
1012,r,r,96,0,,
1013,t,t,96,0,,
1014,h,h,96,0,,
1015,i,i,96,0,,
1016,s,s,96,0,,
1017,c,c,96,0,,
1018,o,o,96,0,,
1019,m,m,96,0,,
1020,p,p,96,0,,
1021,l,l,96,0,,
1022,a,a,96,0,,
1023,i,i,96,0,,
1024,n,n,96,0,,
1025,t,t,96,0,,
1026,i,i,96,0,,
1027,n,n,96,0,,
1028,a,a,96,0,,
1029,c,c,96,0,,
1030,c,c,96,0,,
1031,o,o,96,0,,
1032,r,r,96,0,,
1033,d,d,96,0,,
1034,a,a,96,0,,
1035,n,n,96,0,,
1036,c,c,96,0,,
1037,e,e,96,0,,
1038,w,w,96,0,,
1039,i,i,96,0,,
1040,t,t,96,0,,
1041,h,h,96,0,,
1042,t,t,96,0,,
1043,h,h,96,0,,
1044,e,e,96,0,,
1045,P,P,95,0,,
1046,e,e,95,0,,
1047,r,r,95,0,,
1048,s,s,95,0,,
1049,o,o,95,0,,
1050,n,n,95,0,,
1051,a,a,95,0,,
1052,l,l,95,0,,
1053,D,D,96,0,,
1054,a,a,96,0,,
1055,t,t,96,0,,
1056,a,a,96,0,,
1057,(,(,96,0,,
1058,P,P,96,0,,
1059,r,r,96,0,,
1060,i,i,96,0,,
1061,v,v,96,0,,
1062,a,a,96,0,,
1063,c,c,96,0,,
1064,y,y,96,0,,
1065,),),96,0,,
1066,O,O,96,0,,
