,word data,ocr data,conf,check,ocr time
32740,p,p,96,0,
32741,l,l,96,0,
32742,i,i,96,0,
32743,c,c,96,0,
32744,a,a,96,0,
32745,b,b,96,0,
32746,l,l,96,0,
32747,e,e,96,0,
32748,t,t,96,0,
32749,o,o,96,0,
32750,a,a,96,0,
32751,l,l,96,0,
32752,l,l,96,0,
32753,p,p,96,0,
32754,u,u,96,0,
32755,b,b,96,0,
32756,l,l,96,0,
32757,i,i,96,0,
32758,c,c,96,0,
32759,w,w,96,0,
32760,o,o,96,0,
32761,r,r,96,0,
32762,k,k,96,0,
32763,s,s,96,0,
32764,c,c,96,0,
32765,o,o,96,0,
32766,n,n,96,0,
32767,t,t,96,0,
32768,r,r,96,0,
32769,a,a,96,0,
32770,c,c,96,0,
32771,t,t,96,0,
32772,s,s,96,0,
32773,P,P,96,0,
32774,l,l,96,0,
32775,e,e,96,0,
32776,a,a,96,0,
32777,s,s,96,0,
32778,e,e,96,0,
32779,r,r,96,0,
32780,e,e,96,0,
32781,f,f,96,0,
32782,e,e,96,0,
32783,r,r,96,0,
32784,t,t,93,0,
32785,o,o,93,0,
32786,S,S,91,0,
32787,D,D,91,0,
32788,E,E,91,0,
32789,V,V,91,0,
32790,',',91,0,
32791,s,s,91,0,
32792,m,m,96,0,
32793,e,e,96,0,
32794,m,m,96,0,
32795,o,o,96,0,
32796,s,s,96,0,
32797,r,r,93,0,
32798,e,e,93,0,
32799,f,f,93,0,
32800,(,(,87,0,
32801,0,0,87,0,
32802,1,1,87,0,
32803,T,T,87,0,
32804,C,C,87,0,
32805,9,9,87,0,
32806,0,0,87,0,
32807,1,1,87,0,
32808,5,5,96,0,
32809,),),96,0,
32810,i,i,93,0,
32811,n,n,93,0,
32812,D,D,90,0,
32813,E,E,90,0,
32814,V,V,90,0,
32815,B,B,90,0,
32816,(,(,90,0,
32817,W,W,90,0,
32818,),),90,0,
32819,5,5,92,0,
32820,1,1,92,0,
32821,0,0,92,0,
32822,/,/,92,0,
32823,1,1,92,0,
32824,7,7,92,0,
32825,/,/,92,0,
32826,0,0,92,0,
32827,1,1,92,0,
32828,d,d,93,0,
32829,a,a,93,0,
32830,t,t,93,0,
32831,e,e,93,0,
32832,d,d,93,0,
32833,1,1,92,0,
32834,7,7,92,0,
32835,7,7,92,0,
32836,2,2,92,0,
32837,0,0,92,0,
32838,0,0,92,0,
32839,8,8,92,0,
32840,",",",",92,0,
32841,r,r,95,0,
32842,e,e,95,0,
32843,f,f,95,0,
32844,(,(,90,0,
32845,0,0,90,0,
32846,1,1,90,0,
32847,V,V,90,0,
32848,P,P,90,0,
32849,5,5,90,0,
32850,0,0,90,0,
32851,1,1,90,0,
32852,4,4,90,0,
32853,),),90,0,
32854,i,i,93,0,
32855,n,n,93,0,
32856,D,D,89,0,
32857,E,E,89,0,
32858,V,V,89,0,
32859,B,B,89,0,
32860,(,(,89,0,
32861,W,W,89,0,
32862,),),89,0,
32863,5,5,92,0,
32864,1,1,92,0,
32865,0,0,92,0,
32866,/,/,92,0,
32867,1,1,92,0,
32868,7,7,92,0,
32869,/,/,92,0,
32870,0,0,92,0,
32871,1,1,92,0,
32872,d,d,95,0,
32873,a,a,95,0,
32874,t,t,95,0,
32875,e,e,95,0,
32876,d,d,95,0,
32877,1,1,95,0,
32878,1,1,95,0,
32879,1,1,95,0,
32880,1,1,95,0,
32881,2,2,95,0,
32882,0,0,95,0,
32883,0,0,95,0,
32884,8,8,95,0,
32885,r,r,85,0,
32886,e,e,85,0,
32887,f,f,85,0,
32888,(,(,68,0,
32889,0,0,68,0,
32890,2,2,68,0,
